decision_id,decision_month,material_code,as_of_month,decision_date,lt_months,candidate_arrival_month_idx,on_hand_inventory_ton,blocked_inventory_ton,usable_inventory_ton,current_inventory_ton,now_landed_cost_per_ton,global_raw_sugar_price,usdkrw,freight_index,sugar_ret_1m,usdkrw_ret_1m,freight_ret_1m,sugar_ret_3m,usdkrw_ret_3m,freight_ret_3m,working_capital_pressure_score,moq_ton,lot_multiple_ton,warehouse_capacity_ton,shock_event_flag_now,a_min_end_inv_ton,a_min_cover_months,a_emergency_buy_needed_flag,a_first_shortage_month_idx,baseline_total_shortage_ton,begin_inv_at_arrival_ton,max_cum_gap_arrival_ton,required_buy_qty_arrival_ton,required_buy_qty_first_shortage_ton,b_peak_cost_vs_now_pct,b_forced_buy_flag,b_forced_buy_cost_vs_now_pct,b_emergency_premium_score,b_high_cost_month_count,target_a_rule,target_b_rule,usage_m1_ton,open_po_m1_ton,expected_landed_cost_m1_per_ton,usage_m2_ton,open_po_m2_ton,expected_landed_cost_m2_per_ton,usage_m3_ton,open_po_m3_ton,expected_landed_cost_m3_per_ton,usage_m4_ton,open_po_m4_ton,expected_landed_cost_m4_per_ton
RAW_SUGAR_2019-04,2019-04,RAW_SUGAR,2019-04-01,2019-04-30,2,1,21400.03973439876,1076.1792699386078,20323.86046446015,20323.86046446015,663.4014,458.82,1273.15,94.44,0.015740187288304508,-0.017403719996912814,-0.09069901790872326,0.06400445248365094,-0.03470995428112178,-0.17570044514270744,57.6029044850818,5000.0,2500.0,55000.0,0,-30817.506542668456,0.0,1,1.0,87057.43792589937,20323.86046446015,87057.43792589937,92057.43792589937,7357.791499800671,0.03629145190227234,1,0.03629145190227234,33.79677835602257,0,1,0,27681.651964260822,5000.0,649.5692,28394.502828323344,5000.0,649.31,30487.6370551069,0.0,687.4772,30817.506542668456,0.0,681.8759999999999
RAW_SUGAR_2019-05,2019-05,RAW_SUGAR,2019-05-01,2019-05-31,2,1,24047.429685079507,1194.447983857237,22852.98170122227,22852.98170122227,649.5692,447.67,1255.51,92.05,-0.02430146898565877,-0.01385539802851199,-0.025307073274036473,0.018450268450268537,-0.04743442865488645,-0.18719646799116996,56.15933107778953,5000.0,2500.0,55000.0,0,-29657.602394246613,0.0,1,1.0,84988.61035947362,22852.98170122227,84988.61035947362,89988.61035947362,6558.395010500179,0.05835867833634967,1,0.05835867833634967,41.26140525135735,1,1,1,29411.37671172245,5000.0,649.31,29636.90471160662,5000.0,687.4772,32157.602394246613,2500.0,681.8759999999999,29135.708243120207,0.0,636.3563999999999
RAW_SUGAR_2019-06,2019-06,RAW_SUGAR,2019-06-01,2019-06-30,2,1,23327.962009113708,1305.6353346685075,22022.3266744452,22022.3266744452,649.31,433.31,1252.66,101.68,-0.03207719972301026,-0.0022699938670340813,0.10461705594785453,-0.04073409931150507,-0.03321756579455115,-0.020989793953398728,56.29517642239208,5000.0,2500.0,55000.0,0,-30237.826429617373,0.0,1,1.0,88191.13827069764,22022.3266744452,88191.13827069763,93191.13827069763,8449.902392330205,0.058781167701098314,1,0.058781167701098314,47.01819213216092,2,1,1,30472.229066775406,5000.0,687.4772,30475.790417143195,5000.0,681.8759999999999,30237.826429617373,0.0,636.3563999999999,29027.61903160686,0.0,625.1705999999999
RAW_SUGAR_2019-07,2019-07,RAW_SUGAR,2019-07-01,2019-07-31,2,1,23095.504111994294,796.5568179380306,22298.947294056263,22298.947294056263,687.4772,447.72,1304.76,118.42,0.03325563684198385,0.04159149330225276,0.16463414634146334,-0.024192493788413705,0.02482818206809867,0.25391783142736135,51.252514071767735,5000.0,2500.0,55000.0,1,-26561.15542058308,0.0,1,1.0,82147.94184415016,22298.947294056263,82147.94184415016,87147.94184415016,9424.729180084149,-0.00814747019973927,1,-0.00814747019973927,42.909166666666664,0,1,0,31723.67647414041,5000.0,681.8759999999999,29708.904839768496,5000.0,636.3563999999999,28953.152403714437,2500.0,625.1705999999999,26561.15542058308,0.0,631.1371999999999
RAW_SUGAR_2019-08,2019-08,RAW_SUGAR,2019-08-01,2019-08-31,2,1,24034.948762212254,833.6225731778264,23201.32618903443,23201.32618903443,681.8759999999999,433.95,1328.6,118.44,-0.03075582953631739,0.018271559520524727,0.00016889039013667784,-0.030647575222820467,0.05821538657597314,0.28669201520912546,42.10226447528245,5000.0,2500.0,55000.0,0,-28098.044053320617,0.0,1,1.0,81312.63744814406,23201.32618903443,81312.63744814406,86312.63744814406,7508.918251197341,-0.05163431474344293,1,-0.05163431474344293,47.395833333333314,0,1,0,30710.24444023177,5000.0,636.3563999999999,27931.556815250693,5000.0,625.1705999999999,28098.044053320617,0.0,631.1371999999999,27774.118328375404,0.0,646.6677999999999
RAW_SUGAR_2019-09,2019-09,RAW_SUGAR,2019-09-01,2019-09-30,2,1,22484.445722758577,920.0821959106747,21564.3635268479,21564.3635268479,636.3563999999999,398.34,1320.27,101.73,-0.08206014517801596,-0.006269757639620566,-0.14108409321175275,-0.08070434561861028,0.05397314514712681,0.0004917387883556223,57.05638740596961,5000.0,2500.0,55000.0,0,-25756.506569644072,0.0,1,1.0,72474.5985077002,21564.3635268479,72474.5985077002,77474.5985077002,6705.580047392239,0.03489742540500895,1,0.03489742540500895,47.191954427650046,0,1,0,28269.94357424014,5000.0,625.1705999999999,26418.973810196818,5000.0,631.1371999999999,26093.538080467064,2500.0,646.6677999999999,25756.506569644072,0.0,658.5636
RAW_SUGAR_2019-10,2019-10,RAW_SUGAR,2019-10-01,2019-10-31,2,1,25865.721029176282,1177.8066449482137,24687.91438422807,24687.91438422807,625.1705999999999,391.58,1332.65,93.96,-0.016970427273183653,0.009376869882675498,-0.07637864936596883,-0.12539086929330845,0.0213755786504799,-0.20655294713730799,63.542738676046945,5000.0,2500.0,55000.0,0,-26621.490325973307,0.0,1,1.0,75526.29395191556,24687.91438422807,75526.29395191558,80526.29395191558,5176.88862656361,0.0668895818197468,1,0.0668895818197468,58.72218681888608,2,1,1,27364.80301079168,2500.0,631.1371999999999,27193.97740024237,5000.0,646.6677999999999,26533.937599136276,0.0,658.5636,26621.490325973307,0.0,666.988
RAW_SUGAR_2019-11,2019-11,RAW_SUGAR,2019-11-01,2019-11-30,2,1,22992.474444764724,1172.6213385169422,21819.85310624778,21819.85310624778,631.1371999999999,398.44,1330.23,95.29,0.017518770110833026,-0.0018159306644656148,0.01415495955725854,-0.08182970388293576,0.00122685533644451,-0.19545761567038156,60.74425893194977,5000.0,2500.0,55000.0,0,-26289.10720346957,0.0,1,1.0,69873.96005703454,21819.85310624778,69873.96005703452,74873.96005703452,5432.645631722196,0.056803496925866837,1,0.056803496925866837,53.85199200225179,1,1,1,27252.498737969978,5000.0,646.6677999999999,25614.305430651904,5000.0,658.5636,25037.901791190867,2500.0,666.988,26289.10720346957,0.0,660.433
RAW_SUGAR_2019-12,2019-12,RAW_SUGAR,2019-12-01,2019-12-31,2,2,24153.684276411055,882.6494149493191,23271.034861461736,23271.034861461736,646.6677999999999,410.71,1315.67,103.76,0.030795100893484584,-0.01094547559444603,0.08888655682652957,0.03105387357533762,-0.0034841358207032824,0.01995478226678471,48.496436642832975,5000.0,2500.0,55000.0,0,-27249.772792211825,0.0,1,2.0,72727.2725374883,1388.6385646887102,72727.2725374883,77727.2725374883,23749.17085422342,0.03142293461959933,1,0.03142293461959933,46.878445578819715,0,1,0,26882.396296773026,5000.0,658.5636,25137.80941891213,5000.0,666.988,26728.328891053057,0.0,660.433,27249.772792211825,0.0,649.1174
RAW_SUGAR_2020-01,2020-01,RAW_SUGAR,2020-01-01,2020-01-31,2,2,25249.435566808592,750.6882930996296,24498.747273708963,24498.747273708963,658.5636,423.47,1282.99,111.57,0.031068150276350792,-0.024839055386229103,0.07526985350809556,0.08143929720619036,-0.03726409785014828,0.18742017879948913,51.21943522700641,5000.0,2500.0,55000.0,0,-27455.713557836505,0.0,1,2.0,73358.40084264254,1714.8009081780874,73358.40084264253,78358.40084264253,26478.800312609965,0.012792082647750558,1,0.002838602072753549,38.87539552482108,0,1,0,25283.946365530875,2500.0,666.988,28193.601220788052,5000.0,660.433,26923.886972196073,2500.0,649.1174,27455.713557836505,0.0,648.6182
